Transcriptional Unit (335),Description,read only,Read and write,write only
TU_001,MG_001 - MG_002,,,
TU_002,MG_003 - MG_004,,,
TU_003,MG_005 - MG_009,,,
TU_004,MG_010,,,
TU_005,MG_011 - MG_012,,,
TU_006,MG_013,,,
TU_007,MG471 - MG472,,,
TU_008,MG_014 - MG_015,,,
TU_009,MG_018,,,
TU_010,MG_019 - MG_021,,,
TU_011,MG_022 - MG_024,,,
TU_012,MG_025,,,
TU_013,MG_026 - MG_028,,,
TU_014,MG_029 - MG_031,,,
TU_015,MG_032,,,
TU_016,MG_033,,,
TU_017,MG_034,,,
TU_018,MG_035,,,
TU_019,MG_036,,,
TU_020,MG_037,,,
TU_021,MG_038,,,
TU_022,MG_039,,,
TU_023,MG_040,,,
TU_024,MG_041,,,
TU_025,MG_042 - MG_044,,,
TU_026,MG_045,,,
TU_027,MG_046 - MG_047,,,
TU_028,MG_048,,,
TU_029,MG_049 - MG_051,,,
TU_030,MG_052 - MG_053,,,
TU_031,"MG_054, MG_055, MG_473",,,
TU_032,"MG_056, MG_057, MG_474",,,
TU_033,MG_058,,,
TU_034,MG_059,,,
TU_035,MG_060,,,
TU_036,MG_061,,,
TU_037,MG475,,,
TU_038,MG_062,,,
TU_039,MG_063,,,
TU_040,MG_064 - MG_065,,,
TU_041,MG_066,,,
TU_042,MG_067 - MG_068,,,
TU_043,MG_069,,,
TU_044,MG_070,,,
TU_045,MG_071,,,
TU_046,MG_072,,,
TU_047,MG_073,,,
TU_048,MG_074,,,
TU_049,MG_075,,,
TU_050,MG_076,,,
TU_051,MG_077 - MG_080,,,
TU_052,MG_081 - MG_082,,,
TU_053,MG_083,,,
TU_054,MG_084 - MG_085,,,
TU_055,MG_086 - MG_089,,,
TU_056,MG_090,,,
TU_057,MG_091,,,
TU_058,MG_092,,,
TU_059,MG_093 - MG_095,,,
TU_060,MG_096,,,
TU_061,MG_097,,,
TU_062,MG_098 - MG_100,,,
TU_063,MG_101 - MG_103,,,
TU_064,MG_476,,,
TU_065,MG_104,,,
TU_066,MG_105,,,
TU_067,MG_106,,,
TU_068,MG_107 - MG_110,,,
TU_069,MG_111 - MG_112,,,
TU_070,MG_113,,,
TU_071,MG_114,,,
TU_072,MG_115,,,
TU_073,MG_116 - MG_118,,,
TU_074,MG_119 - MG_122,,,
TU_075,MG_123,,,
TU_076,MG_124 - MG_125,,,
TU_077,MG_126,,,
TU_078,MG_127 - MG_128,,,
TU_079,MG_129,,,
TU_080,MG_130,,,
TU_081,MG_131,,,
TU_082,MG_132,,,
TU_083,MG_133,,,
TU_084,MG_134,,,
TU_085,MG_135,,,
TU_086,MG_136 - MG_138,,,
TU_087,MG_139,,,
TU_088,"MGrrnA16S, MGrrnA23S, MGrrnA5S",,,
TU_089,MG_140,,,
TU_090,MG_141,,,
TU_091,MG_477,,,
TU_092,MG_142 - MG_144,,,
TU_093,MG_145,,,
TU_094,MG_146,,,
TU_095,MG_147,,,
TU_096,MG_148,,,
TU_097,MG_149,,,
TU_098,MG_478,,,
TU_099,MG_150,,,
TU_100,MG_151,,,
TU_101,MG_152 - MG_153,,,
TU_102,MG_154 - MG_163,,,
TU_103,MG_164,,,
TU_104,MG_165 - MG_169,,,
TU_105,MG_170 - MG_173,,,
TU_106,MG_174,,,
TU_107,MG_175 - MG_177,,,
TU_108,MG_178,,,
TU_109,MG_179,,,
TU_110,MG_180,,,
TU_111,MG_181,,,
TU_112,MG_182,,,
TU_113,MG_183 - MG_184,,,
TU_114,MG_185,,,
TU_115,MG_186,,,
TU_116,MG_187 - MG_189,,,
TU_117,MG_190,,,
TU_118,MG_191 - MG_192,,,
TU_119,MG_194 - MG_195,,,
TU_120,MG_196 - MG_198,,,
TU_121,MG_199,,,
TU_122,MG_200 - MG_202,,,
TU_123,MG479,,,
TU_124,MG_203 - MG_204,,,
TU_125,MG_205,,,
TU_126,MG_206,,,
TU_127,MG_207,,,
TU_128,MG_208 - MG_210,,,
TU_129,MG_480,,,
TU_130,MG_481,,,
TU_131,"MG_211, MG_212, MG_482",,,
TU_132,MG_213 - MG_214,,,
TU_133,MG_215 - MG_216,,,
TU_134,MG483,,,
TU_135,MG484,,,
TU_136,MG485,,,
TU_137,MG486,,,
TU_138,MG487,,,
TU_139,MG488,,,
TU_140,MG489,,,
TU_141,MG490,,,
TU_142,MG_217,,,
TU_143,"MG_218, MG_491",,,
TU_144,MG_219,,,
TU_145,MG_220,,,
TU_146,MG492,,,
TU_147,MG_221 - MG_223,,,
TU_148,MG_224,,,
TU_149,MG_225 - MG_226,,,
TU_150,MG_227,,,
TU_151,MG_228 - MG_231,,,
TU_152,MG_232 - MG_236,,,
TU_153,MG_237,,,
TU_154,MG_238,,,
TU_155,MG_239,,,
TU_156,MG_240,,,
TU_157,MG_241,,,
TU_158,MG_242,,,
TU_159,MG_243 - MG_244,,,
TU_160,MG_245,,,
TU_161,MG_246,,,
TU_162,MG_247,,,
TU_163,MG_248 - MG_249,,,
TU_164,MG_250 - MG_251,,,
TU_165,MG_252 - MG_254,,,
TU_166,MG493,,,
TU_167,"MG_255, MG_494",,,
TU_168,MG495 - MG496,,,
TU_169,MG_256,,,
TU_170,MG_257 - MG_259,,,
TU_171,MG_260,,,
TU_172,MG497,,,
TU_173,"MG_261, MG_262, MG_498",,,
TU_174,MG_263,,,
TU_175,MG_264,,,
TU_176,MG_265 - MG_267,,,
TU_177,MG_268,,,
TU_178,MG_0001,,,
TU_179,MG_269,,,
TU_180,MG_270 - MG_272,,,
TU_181,MG_0002,,,
TU_182,MG_273 - MG_275,,,
TU_183,MG_276,,,
TU_184,MG_277,,,
TU_185,MG_278,,,
TU_186,MG_279 - MG_281,,,
TU_187,MG499 - MG501,,,
TU_188,MG502,,,
TU_189,MG503,,,
TU_190,MG_282,,,
TU_191,MG_283,,,
TU_192,MG_284 - MG_286,,,
TU_193,MG_287,,,
TU_194,MG504,,,
TU_195,MG_288,,,
TU_196,MG_289 - MG_291,,,
TU_197,MG_505,,,
TU_198,MG_292 - MG_294,,,
TU_199,MG_295,,,
TU_200,MG_296,,,
TU_201,MG_297,,,
TU_202,MG_298,,,
TU_203,MG_299,,,
TU_204,MG_300 - MG_301,,,
TU_205,MG_302,,,
TU_206,MG_303,,,
TU_207,MG_304,,,
TU_208,MG_305,,,
TU_209,MG_306,,,
TU_210,MG_307,,,
TU_211,MG_308 - MG_309,,,
TU_212,MG_310,,,
TU_213,MG_311,,,
TU_214,MG_312,,,
TU_215,MG_313 - MG_315,,,
TU_216,MG_316,,,
TU_217,MG_317 - MG_318,,,
TU_218,MG_319,,,
TU_219,MG_320,,,
TU_220,MG506,,,
TU_221,MG507,,,
TU_222,MG_321,,,
TU_223,MG508 - MG514,,,
TU_224,MG_322,,,
TU_225,MG_323,,,
TU_226,MG_0003,,,
TU_227,MG_0004,,,
TU_228,"MG_324, MG_325, MG_515",,,
TU_229,MG_326,,,
TU_230,MG_327,,,
TU_231,MG_328,,,
TU_232,MG_329,,,
TU_233,MG_330 - MG_333,,,
TU_234,MG_334,,,
TU_235,MG_335,,,
TU_236,MG_516,,,
TU_237,MG_517,,,
TU_238,MG_336,,,
TU_239,MG_337,,,
TU_240,MG_338,,,
TU_241,MG_339,,,
TU_242,MG_340 - MG_341,,,
TU_243,MG_342,,,
TU_244,MG_343,,,
TU_245,MG_344,,,
TU_246,MG_345,,,
TU_247,MG_346 - MG_347,,,
TU_248,MG518,,,
TU_249,MG_348,,,
TU_250,MG519,,,
TU_251,MG_349 - MG_350,,,
TU_252,MG520,,,
TU_253,MG_521,,,
TU_254,MG_351,,,
TU_255,MG_352,,,
TU_256,MG_353,,,
TU_257,MG_354,,,
TU_258,MG_355,,,
TU_259,MG_356,,,
TU_260,MG_357,,,
TU_261,MG_358 - MG_359,,,
TU_262,MG_360,,,
TU_263,MG_361 - MG_363,,,
TU_264,MG_522,,,
TU_265,MG_364,,,
TU_266,MG_365,,,
TU_267,MG_366,,,
TU_268,MG_367 - MG_369,,,
TU_269,MG_370,,,
TU_270,MG_371,,,
TU_271,MG_372 - MG_375,,,
TU_272,MG_376,,,
TU_273,MG_377,,,
TU_274,MG_378,,,
TU_275,MG_379 - MG_381,,,
TU_276,MG523,,,
TU_277,MG_382,,,
TU_278,MG_383,,,
TU_279,MG_384,,,
TU_280,"MG_385, MG_524",,,
TU_281,MG_386,,,
TU_282,MG_387 - MG_388,,,
TU_283,MG_389,,,
TU_284,MG_390,,,
TU_285,MG_391 - MG_393,,,
TU_286,MG_394,,,
TU_287,MG_395,,,
TU_288,MG_396 - MG_397,,,
TU_289,MG_398,,,
TU_290,MG_399,,,
TU_291,MG_400 - MG_401,,,
TU_292,MG_402 - MG_405,,,
TU_293,MG_406,,,
TU_294,MG_407,,,
TU_295,MG_408,,,
TU_296,MG_409 - MG_412,,,
TU_297,MG_414,,,
TU_298,MG_525,,,
TU_299,MG_417,,,
TU_300,MG_418,,,
TU_301,"MG_419, MG_421, MG_422, MG_423",,,
TU_302,MG_424,,,
TU_303,MG_425,,,
TU_304,MG_426,,,
TU_305,MG_427,,,
TU_306,MG_428,,,
TU_307,MG_429 - MG_431,,,
TU_308,MG_432,,,
TU_309,MG_433,,,
TU_310,MG_434,,,
TU_311,MG_435,,,
TU_312,MG_437,,,
TU_313,MG_438,,,
TU_314,MG_439,,,
TU_315,MG_440 - MG_441,,,
TU_316,MG_442 - MG_443,,,
TU_317,MG_444 - MG_446,,,
TU_318,MG_447,,,
TU_319,MG_448,,,
TU_320,MG_449,,,
TU_321,MG_450 - MG_451,,,
TU_322,MG_452 - MG_453,,,
TU_323,MG_454,,,
TU_324,MG_455,,,
TU_325,MG_456,,,
TU_326,MG_457,,,
TU_327,MG_458,,,
TU_328,MG_459,,,
TU_329,MG_460,,,
TU_330,MG_461 - MG_462,,,
TU_331,MG_463 - MG_465,,,
TU_332,MG_466,,,
TU_333,MG_467 - MG_468,,,
TU_334,MG_526,,,
TU_335,MG_469 - MG_470,,,
